Id,COD UF,UF,REGIAO,COD 6num,CD_GEOCMU,NM_MUNICIP,biome,year,seq,number,pop,rate,rate_n,analf,san,pob,vuln,rural,migr,ab,med,esf,tmi,temp,prec,ndvi,ndwi
BA-2010,29,BA,NE,290350,2903508,Belo Campo,2,2010,1871,2,16021,12.5,12.5,26.12 ,34.7 ,50.99,14.6,44,5,11,18,2,25.6,32.13036937,635.6073355,0.510861858,0.23067701
BA-2010,29,BA,NE,290360,2903607,Biritinga,2,2010,1872,58,14836,390.9,390.9,26.14 ,11.6 ,44.91,6.6,76,2,13,5,4,29.7,33.2356732,750.5696264,0.571194166,0.295367796
BA-2010,29,BA,NE,290370,2903706,Boa Nova,4,2010,1873,0,15411,0.0,0.0,31.7 ,31.0 ,51.34,16.2,62,3,9,2,0,26.8,30.0009399,560.9907826,0.62918261,0.38168396
BA-2010,29,BA,NE,290380,2903805,Boa Vista do Tupim,2,2010,1874,60,17991,333.5,333.5,30.31 ,33.4 ,33.92,17.0,63,2,15,10,3,31.4,31.84902129,584.7429049,0.596124083,0.336847354
BA-2010,29,BA,NE,290390,2903904,Bom Jesus da Lapa,2,2010,1875,57,63480,89.8,89.8,19.21 ,19.3 ,44.41,9.9,32,7,25,30,2,23,33.41989836,696.0143827,0.576883898,0.325416663
BA-2010,29,BA,NE,290395,2903953,Bom Jesus da Serra,4,2010,1876,0,10113,0.0,0.0,27.15 ,64.7 ,41.23,25.1,73,3,6,8,0,27.6,31.65712914,526.9467699,0.51817937,0.210649563
BA-2010,29,BA,NE,290400,2904001,Boninal,2,2010,1877,1,13695,7.3,7.3,22.02 ,12.9 ,40.9,3.6,66,5,18,6,2,20.8,29.18314117,721.1525215,0.584167928,0.311130519
BA-2010,29,BA,NE,290405,2904050,Bonito,2,2010,1878,0,14834,0.0,0.0,20.32 ,10.0 ,37.41,3.9,58,3,8,6,,40.8,28.75664938,671.1983022,0.683629312,0.467063263
BA-2010,29,BA,NE,290410,2904100,Boquira,2,2010,1879,101,22037,458.3,458.3,25.81 ,30.1 ,43.37,13.9,67,3,27,8,1,21.9,33.11162723,710.8194723,0.521972773,0.242471694
BA-2010,29,BA,NE,290420,2904209,Botuporã,2,2010,1880,164,11154,1470.3,1470.3,26.26 ,45.4 ,37.39,20.8,64,2,12,9,1,26.7,33.58068778,728.3904112,0.500495094,0.20933872
